,Date,Close,High,Low,Open,Volume,Symbol
93,2025-03-06,1205.734619140625,1209.170846801184,1180.784216542672,1196.2225593148453,652420,RELIANCE.BO
94,2025-03-07,1244.1312255859375,1249.5097694365288,1207.477683937125,1209.22072267488,794738,RELIANCE.BO
95,2025-03-10,1233.2745361328125,1252.9958226752663,1230.585325051901,1244.1312015206333,245117,RELIANCE.BO
96,2025-03-11,1242.43798828125,1244.5794601070327,1225.1071794741817,1233.1252059899978,305952,RELIANCE.BO
97,2025-03-12,1251.601318359375,1256.5317005941895,1239.0514644989196,1251.8503238787678,426299,RELIANCE.BO
98,2025-03-13,1242.43798828125,1258.9719307767202,1239.0514888340506,1257.876330786819,302876,RELIANCE.BO
99,2025-03-17,1235.4658203125,1252.198918413522,1228.3442380776503,1242.0395417659274,422823,RELIANCE.BO
100,2025-03-18,1233.8721923828125,1243.135124708749,1229.9876819820597,1238.5534474909466,1740575,RELIANCE.BO
101,2025-03-19,1242.7366943359375,1247.766654448547,1234.419934326684,1237.059417142363,295426,RELIANCE.BO
102,2025-03-20,1263.50390625,1267.7370002509213,1245.0276473297342,1249.2108915908698,612659,RELIANCE.BO
103,2025-03-21,1271.372314453125,1279.390340699025,1264.9978705138406,1264.9978705138406,361299,RELIANCE.BO
104,2025-03-24,1296.17333984375,1300.1077001027174,1275.9043143580523,1281.2828580329478,861533,RELIANCE.BO
105,2025-03-25,1280.286865234375,1301.8009188416675,1277.8963878147354,1301.8009188416675,865836,RELIANCE.BO
106,2025-03-26,1267.488037109375,1288.8028138766936,1263.9521098388159,1285.1175805512469,658347,RELIANCE.BO
107,2025-03-27,1273.314697265625,1280.0378465478557,1266.989981146695,1269.9780474943532,278220,RELIANCE.BO
108,2025-03-28,1269.92822265625,1290.5458322254817,1264.001939584414,1274.211166472435,987799,RELIANCE.BO
109,2025-04-01,1247.4678955078125,1272.7171543261554,1245.0276898695622,1269.5298104892481,722008,RELIANCE.BO
110,2025-04-02,1246.123291015625,1251.003823881153,1238.8524022512336,1245.3762744010462,243303,RELIANCE.BO
111,2025-04-03,1243.6331787109375,1246.2228118726657,1229.6391410558635,1234.0215410596818,532522,RELIANCE.BO
112,2025-04-04,1199.9078369140625,1240.2467340375724,1188.104998739316,1235.067467485238,785059,RELIANCE.BO
113,2025-04-07,1161.5609130859375,1166.341867753318,1111.1124914795048,1120.5248515990459,1433461,RELIANCE.BO
114,2025-04-08,1177.696533203125,1192.0392754902673,1159.220274961793,1173.1645840994845,894893,RELIANCE.BO
115,2025-04-09,1180.8837890625,1184.768299607668,1164.4494242507922,1167.7363458470259,495957,RELIANCE.BO
116,2025-04-11,1214.4498291015625,1217.5872015364528,1192.288336757262,1195.2265534004785,684519,RELIANCE.BO
117,2025-04-15,1234.9677734375,1251.0037042466467,1232.0792851537437,1251.0037042466467,719043,RELIANCE.BO
118,2025-04-16,1233.7227783203125,1235.963828008689,1224.1609906335182,1234.9179561868891,361521,RELIANCE.BO
119,2025-04-17,1269.47998046875,1274.3603913536438,1222.5175154582162,1233.722763767927,392500,RELIANCE.BO
120,2025-04-21,1290.6951904296875,1294.8287063862504,1261.7109721652175,1266.491926791919,729259,RELIANCE.BO
